fileName,startFrame,endFrame,label
DGIkkdxMrWc_30fps,268,288,FH ND
DGIkkdxMrWc_30fps,341,362,BH ND
DGIkkdxMrWc_30fps,498,519,FH ND
DGIkkdxMrWc_30fps,564,588,BH ND
DGIkkdxMrWc_30fps,652,674,BH ND
DGIkkdxMrWc_30fps,728,748,BH ND
DGIkkdxMrWc_30fps,809,834,BHV ND
DGIkkdxMrWc_30fps,896,921,BH ND
DGIkkdxMrWc_30fps,975,995,BH ND
DGIkkdxMrWc_30fps,1049,1067,BH ND
DGIkkdxMrWc_30fps,1116,1134,BH ND
DGIkkdxMrWc_30fps,1190,1211,BH ND
DGIkkdxMrWc_30fps,1350,1368,FH ND
DGIkkdxMrWc_30fps,1417,1437,FH ND
DGIkkdxMrWc_30fps,1604,1625,FH ND
DGIkkdxMrWc_30fps,1674,1692,FH ND
DGIkkdxMrWc_30fps,1745,1763,FH ND
DGIkkdxMrWc_30fps,2033,2052,FH ND
DGIkkdxMrWc_30fps,2099,2122,FH ND
DGIkkdxMrWc_30fps,2184,2204,FH ND
DGIkkdxMrWc_30fps,2354,2375,FH ND
DGIkkdxMrWc_30fps,2427,2447,FH ND
DGIkkdxMrWc_30fps,2564,2585,FH ND
DGIkkdxMrWc_30fps,2633,2653,FH ND
DGIkkdxMrWc_30fps,2706,2728,FH ND
DGIkkdxMrWc_30fps,3095,3116,FH ND
DGIkkdxMrWc_30fps,3162,3179,FH ND
DGIkkdxMrWc_30fps,3230,3250,FH ND
DGIkkdxMrWc_30fps,3335,3356,FH ND
DGIkkdxMrWc_30fps,3615,3636,FH ND
DGIkkdxMrWc_30fps,3681,3704,FH ND
DGIkkdxMrWc_30fps,3758,3779,BH ND
DGIkkdxMrWc_30fps,4004,4024,FH ND
DGIkkdxMrWc_30fps,4072,4091,BH ND
DGIkkdxMrWc_30fps,4274,4294,BH ND
DGIkkdxMrWc_30fps,4346,4364,FH ND
DGIkkdxMrWc_30fps,4509,4528,BH ND
DGIkkdxMrWc_30fps,4577,4599,FH ND
DGIkkdxMrWc_30fps,4657,4676,FH ND
DGIkkdxMrWc_30fps,4885,4901,BH ND
DGIkkdxMrWc_30fps,4965,4983,BH ND
DGIkkdxMrWc_30fps,5148,5165,BH ND
DGIkkdxMrWc_30fps,5221,5239,BH ND
DGIkkdxMrWc_30fps,5306,5325,BH ND
DGIkkdxMrWc_30fps,5397,5417,BH ND
DGIkkdxMrWc_30fps,5497,5520,FH ND
DGIkkdxMrWc_30fps,5714,5733,BH ND
DGIkkdxMrWc_30fps,5787,5805,FH ND
DGIkkdxMrWc_30fps,5857,5877,BH ND
DGIkkdxMrWc_30fps,6580,6597,BH ND
DGIkkdxMrWc_30fps,6752,6768,BH ND
DGIkkdxMrWc_30fps,6821,6840,BH ND
DGIkkdxMrWc_30fps,6959,6979,FH ND
DGIkkdxMrWc_30fps,7196,7214,FH ND
DGIkkdxMrWc_30fps,7262,7282,FH ND
DGIkkdxMrWc_30fps,7420,7436,FH ND
DGIkkdxMrWc_30fps,7538,7555,FH ND
DGIkkdxMrWc_30fps,7782,7801,FH ND
DGIkkdxMrWc_30fps,8667,8689,S ND
DGIkkdxMrWc_30fps,8937,8960,S ND
DGIkkdxMrWc_30fps,9247,9272,S ND
DGIkkdxMrWc_30fps,9302,9321,FH ND
DGIkkdxMrWc_30fps,10348,10371,S ND
DGIkkdxMrWc_30fps,11265,11290,S ND
DGIkkdxMrWc_30fps,11608,11631,S ND
DGIkkdxMrWc_30fps,11672,11690,FH ND
DGIkkdxMrWc_30fps,11906,11930,S ND
DGIkkdxMrWc_30fps,11957,11976,FH ND
DGIkkdxMrWc_30fps,12128,12153,S ND
DGIkkdxMrWc_30fps,13800,13824,S ND
DGIkkdxMrWc_30fps,13865,13878,BH ND
