fileName,startFrame,endFrame,label
ZVj-ukiIDJE_30fps,564,582,BH CA
ZVj-ukiIDJE_30fps,654,678,FH CA
ZVj-ukiIDJE_30fps,731,756,FH CA
ZVj-ukiIDJE_30fps,813,836,FH CA
ZVj-ukiIDJE_30fps,895,913,BH CA
ZVj-ukiIDJE_30fps,971,997,BH CA
ZVj-ukiIDJE_30fps,1072,1098,BH CA
ZVj-ukiIDJE_30fps,1152,1175,FH CA
ZVj-ukiIDJE_30fps,1228,1251,BH CA
ZVj-ukiIDJE_30fps,1298,1320,FH CA
ZVj-ukiIDJE_30fps,1373,1399,FH CA
ZVj-ukiIDJE_30fps,1451,1475,BH CA
ZVj-ukiIDJE_30fps,1528,1553,FH CA
ZVj-ukiIDJE_30fps,1611,1630,BH CA
ZVj-ukiIDJE_30fps,1698,1719,BH CA
ZVj-ukiIDJE_30fps,1886,1910,FH CA
ZVj-ukiIDJE_30fps,1967,1991,BH CA
ZVj-ukiIDJE_30fps,2036,2060,FH CA
ZVj-ukiIDJE_30fps,2124,2145,FH CA
ZVj-ukiIDJE_30fps,2318,2342,BH CA
ZVj-ukiIDJE_30fps,2402,2424,BH CA
ZVj-ukiIDJE_30fps,2495,2522,FH CA
ZVj-ukiIDJE_30fps,2675,2698,BH CA
ZVj-ukiIDJE_30fps,2747,2773,FH CA
ZVj-ukiIDJE_30fps,2829,2853,BH CA
ZVj-ukiIDJE_30fps,2901,2929,FH CA
ZVj-ukiIDJE_30fps,2994,3020,FH CA
ZVj-ukiIDJE_30fps,3065,3095,FH CA
ZVj-ukiIDJE_30fps,3197,3227,BH CA
ZVj-ukiIDJE_30fps,3281,3310,FH CA
ZVj-ukiIDJE_30fps,3354,3379,BH CA
ZVj-ukiIDJE_30fps,3422,3450,FH CA
ZVj-ukiIDJE_30fps,3492,3521,FH CA
ZVj-ukiIDJE_30fps,3578,3607,BH CA
ZVj-ukiIDJE_30fps,3668,3696,FH CA
ZVj-ukiIDJE_30fps,3751,3776,BH CA
ZVj-ukiIDJE_30fps,3852,3870,BH CA
ZVj-ukiIDJE_30fps,3926,3952,BH CA
ZVj-ukiIDJE_30fps,4050,4072,BH CA
ZVj-ukiIDJE_30fps,4131,4157,BH CA
ZVj-ukiIDJE_30fps,4210,4235,FH CA
ZVj-ukiIDJE_30fps,4280,4307,FH CA
ZVj-ukiIDJE_30fps,4380,4405,BH CA
ZVj-ukiIDJE_30fps,4456,4481,BH CA
ZVj-ukiIDJE_30fps,4528,4556,FH CA
ZVj-ukiIDJE_30fps,4602,4632,FH CA
ZVj-ukiIDJE_30fps,4698,4719,BH CA
ZVj-ukiIDJE_30fps,4783,4806,FH CA
ZVj-ukiIDJE_30fps,4855,4881,FH CA
ZVj-ukiIDJE_30fps,4928,4953,FH CA
ZVj-ukiIDJE_30fps,5318,5338,FH PBC
ZVj-ukiIDJE_30fps,5407,5435,FH PBC
ZVj-ukiIDJE_30fps,5488,5512,FH PBC
ZVj-ukiIDJE_30fps,5572,5598,BH PBC
ZVj-ukiIDJE_30fps,5648,5671,FH PBC
ZVj-ukiIDJE_30fps,5726,5750,FH PBC
ZVj-ukiIDJE_30fps,6829,6855,BH PBC
ZVj-ukiIDJE_30fps,6904,6931,FH PBC
ZVj-ukiIDJE_30fps,7102,7131,FH PBC
ZVj-ukiIDJE_30fps,7176,7204,FH PBC
ZVj-ukiIDJE_30fps,7483,7512,FH PBC
ZVj-ukiIDJE_30fps,7560,7591,FH PBC
ZVj-ukiIDJE_30fps,7639,7669,FH PBC
ZVj-ukiIDJE_30fps,7714,7745,FH PBC
ZVj-ukiIDJE_30fps,8122,8151,FH PBC
ZVj-ukiIDJE_30fps,8302,8337,FH PBC
ZVj-ukiIDJE_30fps,8382,8411,BH PBC
ZVj-ukiIDJE_30fps,8456,8488,FH PBC
ZVj-ukiIDJE_30fps,8540,8566,BH PBC
ZVj-ukiIDJE_30fps,8616,8645,FH PBC
ZVj-ukiIDJE_30fps,8693,8719,BH PBC
ZVj-ukiIDJE_30fps,8782,8811,FH PBC
ZVj-ukiIDJE_30fps,8950,8974,FH PBC
ZVj-ukiIDJE_30fps,9027,9053,FH PBC
ZVj-ukiIDJE_30fps,9106,9136,FH PBC
ZVj-ukiIDJE_30fps,9183,9204,BH PBC
ZVj-ukiIDJE_30fps,9260,9284,FH PBC
ZVj-ukiIDJE_30fps,9350,9377,FH PBC
ZVj-ukiIDJE_30fps,9425,9452,FH PBC
ZVj-ukiIDJE_30fps,9494,9524,FH PBC
ZVj-ukiIDJE_30fps,9562,9590,FH PBC
ZVj-ukiIDJE_30fps,9631,9659,FH PBC
ZVj-ukiIDJE_30fps,9713,9743,FH PBC
ZVj-ukiIDJE_30fps,9788,9817,FH PBC
ZVj-ukiIDJE_30fps,9869,9900,FH PBC
ZVj-ukiIDJE_30fps,9944,9974,FH PBC
ZVj-ukiIDJE_30fps,10075,10100,BH PBC
ZVj-ukiIDJE_30fps,10166,10192,BH PBC
ZVj-ukiIDJE_30fps,10268,10295,BH PBC
ZVj-ukiIDJE_30fps,10357,10381,BH PBC
ZVj-ukiIDJE_30fps,10436,10460,BH PBC
ZVj-ukiIDJE_30fps,10503,10532,FH PBC
ZVj-ukiIDJE_30fps,10581,10609,FH PBC
ZVj-ukiIDJE_30fps,10651,10678,FH PBC
ZVj-ukiIDJE_30fps,10725,10752,FH PBC
ZVj-ukiIDJE_30fps,10852,10875,BH PBC
ZVj-ukiIDJE_30fps,10974,11000,BH PBC
ZVj-ukiIDJE_30fps,11058,11085,BH PBC
ZVj-ukiIDJE_30fps,11134,11157,BH PBC
ZVj-ukiIDJE_30fps,11211,11237,FH PBC
ZVj-ukiIDJE_30fps,11283,11304,BH PBC
ZVj-ukiIDJE_30fps,11386,11413,FH PBC
ZVj-ukiIDJE_30fps,11456,11481,FH PBC
ZVj-ukiIDJE_30fps,11528,11551,BH PBC
ZVj-ukiIDJE_30fps,11614,11640,FH PBC
ZVj-ukiIDJE_30fps,11685,11713,FH PBC
ZVj-ukiIDJE_30fps,11757,11781,FH PBC
ZVj-ukiIDJE_30fps,11864,11894,BH PBC
ZVj-ukiIDJE_30fps,11961,11991,FH PBC
ZVj-ukiIDJE_30fps,12039,12068,FH PBC
ZVj-ukiIDJE_30fps,12110,12138,FH PBC
ZVj-ukiIDJE_30fps,12188,12216,FH PBC
ZVj-ukiIDJE_30fps,12261,12286,BH PBC
ZVj-ukiIDJE_30fps,12334,12361,BH PBC
ZVj-ukiIDJE_30fps,12405,12434,FH PBC
ZVj-ukiIDJE_30fps,12613,12636,BH CA
ZVj-ukiIDJE_30fps,12678,12702,BH CA
ZVj-ukiIDJE_30fps,12739,12763,BH CA
ZVj-ukiIDJE_30fps,12820,12848,FH CA
ZVj-ukiIDJE_30fps,12883,12908,FH CA
ZVj-ukiIDJE_30fps,12937,12962,FH CA
ZVj-ukiIDJE_30fps,12999,13023,BH CA
ZVj-ukiIDJE_30fps,13068,13098,FH CA
ZVj-ukiIDJE_30fps,13124,13151,FH CA
ZVj-ukiIDJE_30fps,13180,13206,FH CA
ZVj-ukiIDJE_30fps,13244,13267,BH CA
ZVj-ukiIDJE_30fps,13302,13323,BH CA
ZVj-ukiIDJE_30fps,13353,13374,BH CA
ZVj-ukiIDJE_30fps,13399,13424,FH CA
ZVj-ukiIDJE_30fps,13453,13479,FH CA
ZVj-ukiIDJE_30fps,13611,13635,BH CA
ZVj-ukiIDJE_30fps,13667,13693,BH CA
ZVj-ukiIDJE_30fps,13806,13833,FH CA
ZVj-ukiIDJE_30fps,13974,14002,FH CA
ZVj-ukiIDJE_30fps,14034,14057,BH CA
ZVj-ukiIDJE_30fps,14092,14114,BH CA
ZVj-ukiIDJE_30fps,14149,14171,BH CA
ZVj-ukiIDJE_30fps,14209,14233,BH CA
ZVj-ukiIDJE_30fps,14258,14284,FH CA
ZVj-ukiIDJE_30fps,14322,14348,FH CA
ZVj-ukiIDJE_30fps,14377,14406,FH CA
ZVj-ukiIDJE_30fps,14494,14522,FH CA
ZVj-ukiIDJE_30fps,14559,14584,FH CA
ZVj-ukiIDJE_30fps,14614,14637,BH CA
ZVj-ukiIDJE_30fps,17119,17142,FHV CA
ZVj-ukiIDJE_30fps,17183,17206,BHV CA
ZVj-ukiIDJE_30fps,17250,17273,BHV CA
ZVj-ukiIDJE_30fps,17302,17327,BHV CA
ZVj-ukiIDJE_30fps,17405,17433,FHV CA
ZVj-ukiIDJE_30fps,17459,17488,FHV CA
ZVj-ukiIDJE_30fps,17516,17546,BHV CA
ZVj-ukiIDJE_30fps,17579,17604,FHV CA
ZVj-ukiIDJE_30fps,17640,17670,FHV CA
ZVj-ukiIDJE_30fps,17692,17716,FHV CA
ZVj-ukiIDJE_30fps,17739,17763,BHV CA
ZVj-ukiIDJE_30fps,17852,17873,FHV CA
ZVj-ukiIDJE_30fps,17913,17942,FHV CA
ZVj-ukiIDJE_30fps,17976,18001,BHV CA
ZVj-ukiIDJE_30fps,18033,18060,BHV CA
ZVj-ukiIDJE_30fps,18085,18110,BHV CA
ZVj-ukiIDJE_30fps,18146,18176,BHV CA
ZVj-ukiIDJE_30fps,18208,18237,BHV CA
ZVj-ukiIDJE_30fps,18265,18291,FHV CA
ZVj-ukiIDJE_30fps,18317,18338,FHV CA
ZVj-ukiIDJE_30fps,18377,18407,FHV CA
ZVj-ukiIDJE_30fps,18436,18464,BHV CA
ZVj-ukiIDJE_30fps,18491,18521,BHV CA
ZVj-ukiIDJE_30fps,18570,18590,S CA
ZVj-ukiIDJE_30fps,18669,18688,S CA
ZVj-ukiIDJE_30fps,18766,18784,S CA
ZVj-ukiIDJE_30fps,18860,18877,S CA
ZVj-ukiIDJE_30fps,18998,19015,S CA
ZVj-ukiIDJE_30fps,19094,19113,S CA
ZVj-ukiIDJE_30fps,19186,19202,S CA
ZVj-ukiIDJE_30fps,19280,19298,S CA
ZVj-ukiIDJE_30fps,19382,19403,S CA
ZVj-ukiIDJE_30fps,19480,19507,S CA
ZVj-ukiIDJE_30fps,19600,19629,S CA
ZVj-ukiIDJE_30fps,19719,19744,S CA
ZVj-ukiIDJE_30fps,19842,19868,S CA
ZVj-ukiIDJE_30fps,19947,19974,S CA
ZVj-ukiIDJE_30fps,20078,20103,S CA
ZVj-ukiIDJE_30fps,20188,20215,S CA
ZVj-ukiIDJE_30fps,20304,20332,S CA
ZVj-ukiIDJE_30fps,20409,20435,S CA
ZVj-ukiIDJE_30fps,20539,20565,S CA
ZVj-ukiIDJE_30fps,20659,20685,S CA
ZVj-ukiIDJE_30fps,20810,20834,S CA
ZVj-ukiIDJE_30fps,20903,20930,S CA
ZVj-ukiIDJE_30fps,21026,21051,S CA
ZVj-ukiIDJE_30fps,21148,21176,S CA
ZVj-ukiIDJE_30fps,21227,21250,S CA
