fileName,startFrame,endFrame,label
kTO7o5A0sys_30fps,342,362,BH CA
kTO7o5A0sys_30fps,439,456,BH CA
kTO7o5A0sys_30fps,533,556,FH CA
kTO7o5A0sys_30fps,633,653,FH CA
kTO7o5A0sys_30fps,723,743,FH CA
kTO7o5A0sys_30fps,808,829,BH CA
kTO7o5A0sys_30fps,898,918,FH CA
kTO7o5A0sys_30fps,1203,1230,BH CA
kTO7o5A0sys_30fps,1290,1308,FH CA
kTO7o5A0sys_30fps,1366,1381,BHV CA
kTO7o5A0sys_30fps,1459,1477,FH CA
kTO7o5A0sys_30fps,1554,1580,FH CA
kTO7o5A0sys_30fps,1638,1657,FH CA
kTO7o5A0sys_30fps,1712,1731,BH CA
kTO7o5A0sys_30fps,1796,1815,FH CA
kTO7o5A0sys_30fps,1873,1893,BH CA
kTO7o5A0sys_30fps,1944,1963,BH CA
kTO7o5A0sys_30fps,2019,2038,FH CA
kTO7o5A0sys_30fps,2105,2122,FH CA
kTO7o5A0sys_30fps,2172,2190,FH CA
kTO7o5A0sys_30fps,2338,2353,BH CA
kTO7o5A0sys_30fps,2410,2425,BH CA
kTO7o5A0sys_30fps,2490,2510,FH CA
kTO7o5A0sys_30fps,2585,2603,FH CA
kTO7o5A0sys_30fps,2669,2686,FH CA
kTO7o5A0sys_30fps,2753,2766,BH CA
kTO7o5A0sys_30fps,2841,2859,BH CA
kTO7o5A0sys_30fps,2929,2948,BH CA
kTO7o5A0sys_30fps,3014,3031,FH CA
kTO7o5A0sys_30fps,3085,3105,BH CA
kTO7o5A0sys_30fps,3170,3186,FH CA
kTO7o5A0sys_30fps,3747,3767,FH CA
kTO7o5A0sys_30fps,3841,3862,FH CA
kTO7o5A0sys_30fps,4015,4033,FH CA
kTO7o5A0sys_30fps,4096,4118,BH CA
kTO7o5A0sys_30fps,4182,4199,FH CA
kTO7o5A0sys_30fps,4562,4579,BH CA
kTO7o5A0sys_30fps,4634,4646,BH CA
kTO7o5A0sys_30fps,5075,5093,BH CA
kTO7o5A0sys_30fps,5169,5189,FH CA
kTO7o5A0sys_30fps,5254,5275,FH CA
kTO7o5A0sys_30fps,5348,5367,FH CA
kTO7o5A0sys_30fps,5415,5432,BH CA
kTO7o5A0sys_30fps,5494,5508,BH CA
kTO7o5A0sys_30fps,5586,5602,BH CA
kTO7o5A0sys_30fps,5672,5690,FH CA
